orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment
YAR035C-A,34,4,1.03987,0.048907,unchanged,28,"N+, C+"
YAR035C-A,34,4,1.040382,0.055203,unchanged,31,"N+, C++"
YAR035C-A,34,4,1.044145,0.039996,unchanged,33,"N++,C++"
YAR035C-A,35,4,0.972708,0.021878,unchanged,91,"N++,C+"
YAR035C-A,58,4,1.047942,0.056827,unchanged,93,"N-,C++"
YAR035W,34,2,0.387924,0.007688,decreased,28,"N+, C+"
YAR035W,34,2,0.403724,0.007915,decreased,31,"N+, C++"
YAR035W,34,2,0.34003,0.009156,decreased,33,"N++,C++"
YAR035W,35,2,0.243129,0.012294,unchanged,91,"N++,C+"
YAR035W,58,2,0.48282,0.010551,unchanged,93,"N-,C++"
YAR042W,34,4,0.404156,0.000755,decreased,28,"N+, C+"
YAR042W,34,4,0.388022,0.000892,decreased,31,"N+, C++"
YAR042W,34,4,0.312871,0.001045,decreased,33,"N++,C++"
YAR042W,35,4,0.203877,0.00151,decreased,91,"N++,C+"
YAR042W,58,4,0.41661,0.001182,decreased,93,"N-,C++"
YAR053W,34,4,0.994833,0.02264,unchanged,28,"N+, C+"
YAR053W,34,4,1.017981,0.209981,unchanged,31,"N+, C++"
YAR053W,34,4,1.011997,0.127404,unchanged,33,"N++,C++"
YAR053W,35,4,0.989981,0.011607,unchanged,91,"N++,C+"
YAR053W,58,4,0.958002,0.003868,decreased,93,"N-,C++"
YAR064W,34,4,0.999309,0.034814,unchanged,28,"N+, C+"
YAR064W,34,4,0.992453,0.011199,unchanged,31,"N+, C++"
YAR064W,34,4,1.014934,0.186421,unchanged,33,"N++,C++"
YAR064W,35,4,1.041211,0.047455,unchanged,91,"N++,C+"
YAR064W,58,4,1.042148,0.040913,unchanged,93,"N-,C++"
YAR066W,34,4,1.053964,0.020255,unchanged,28,"N+, C+"
YAR066W,34,4,1.050196,0.083799,unchanged,31,"N+, C++"
YAR066W,34,4,1.032404,0.249519,unchanged,33,"N++,C++"
YAR066W,35,4,1.043602,0.029984,unchanged,91,"N++,C+"
YAR066W,58,4,1.020682,0.295028,unchanged,93,"N-,C++"
YAR068W,34,2,1.041676,0.08709,unchanged,28,"N+, C+"
YAR068W,34,2,1.043471,0.108781,unchanged,31,"N+, C++"
YAR068W,34,2,1.101875,0.015344,unchanged,33,"N++,C++"
YAR068W,35,2,1.023915,0.240947,unchanged,91,"N++,C+"
YAR068W,58,2,1.033325,0.222883,unchanged,93,"N-,C++"
YAR071W,34,8,0.993811,0.055593,unchanged,28,"N+, C+"
YAR071W,34,8,0.993278,0.002749,unchanged,31,"N+, C++"
YAR071W,34,8,0.983467,0.003273,unchanged,33,"N++,C++"
YAR071W,35,8,0.993665,0.043485,unchanged,91,"N++,C+"
YAR071W,58,8,0.987437,0.013839,unchanged,93,"N-,C++"
YAR075W,34,4,1.024199,0.163029,unchanged,28,"N+, C+"
YAR075W,34,4,0.996912,0.038396,unchanged,31,"N+, C++"
YAR075W,34,4,1.017606,0.187854,unchanged,33,"N++,C++"
YAR075W,35,4,1.019309,0.267991,unchanged,91,"N++,C+"
YAR075W,58,4,1.026857,0.128501,unchanged,93,"N-,C++"
YBL003C,34,4,1.033611,0.055739,unchanged,28,"N+, C+"
YBL003C,34,4,1.021984,0.230182,unchanged,31,"N+, C++"
YBL003C,34,4,1.013968,0.199152,unchanged,33,"N++,C++"
YBL003C,35,4,1.045364,0.02876,unchanged,91,"N++,C+"
YBL003C,58,4,1.046779,0.039673,unchanged,93,"N-,C++"
