"orf_name","colony_id","colony_size"
"YLR367W",201184,0.999989
"YLR229C",201185,1.006347
"YGR183C",201186,1.023404
"YLR115W",201187,0.884779
"YER059W",201188,0.921759
"YKL209C",201189,0.997398
"YGL179C",201190,1.076928
"YOR329C",201191,0.47119
"YPL241C",201192,1.029497
"YLR165C",201193,0.979942
"YGR205W",201194,0.907978
"YLR153C",201195,0.640164
"YDL017W",201196,0.989897
"YOR207C",201197,0.890835
"YIL093C",201198,1.048317
"YPL129W",201199,1.096991
"YKL074C",201200,1.043372
"YKR104W",201201,0.946944
"YGR220C",201202,1.031319
"YKR010C",201203,1.164418
"YLR307C-A",201204,1.070222
"YMR165C",201205,0.987038
"YDR261C",201206,1.044003
"YHR046C",201208,0.408744
"YLR160C",201209,0.99515
"YGR232W",201210,0.990875
"YOR217W",201211,0.586262
"YML079W",201222,0.990875
"YDR229W",201223,0.787852
"YOL065C",201224,0.945692
"YGL056C",201225,0.89368
"YOR154W",201226,0.957015
"YER048C",201227,0.75876
"YGR087C",201228,0.954128
"YOR087W",201229,1.023433
"YLR145W",201230,0.98642
"YHR199C-A",201231,0.999626
"YOR312C",201232,1.031544
"YFR037C",201233,0.956818
"YOR073W",201234,0.860563
"YOR156C",201237,0.200651
"YNL044W",201238,1.027066
"YLR415C",201239,0.996541
"YOR327C",201240,1.014541
"YFL054C",201241,0.973315
"YNL176C",201242,1.025477
"YGL255W",201243,1.003069
"YDR343C",201244,1.017215
"YOR160W",201245,0.909595
"YNL223W",201246,0.989303
"YDL027C",201247,0.953787
"YOR382W",201248,1.039822
"YGL234W",201249,0.992728
"YIL056W",201250,0.431855
"YKL107W",201251,1.00384
"YML127W",201252,1.064764
"YOR202W",201254,1.052212
"YAL065C",201255,1.000802
"YPL004C",201256,0.976634
"YEL016C",201257,0.981486
"YML082W",201258,1.026217
"YNR008W",201259,0.987081
"YKL109W",201260,0.711599
"YGL016W",201261,0.548497
"YER010C",201262,1.061675
"YCL005W-A",201263,1.001183
"YOR383C",201264,1.023738
"YGL073W",201266,0.16115
"YFR055W",201267,1.028809
"YER184C",201269,0.950963
"YJR056C",201270,0.997561
"YEL031W",201271,0.824988
"YOR390W",201272,1.03881
"YER022W",201273,0.941363
"YIL125W",201274,0.928593
"YDL227C",201275,0.991185
"YPL258C",201286,0.942315
"YMR150C",201287,1.007658
"YGR244C",201288,0.978013
"YDR260C",201289,0.892826
"YMR232W",201290,0.990875
"YLR393W",201291,0.936008
"YHL007C",201292,0.926112
"YDR185C",201293,1.043783
"YOR278W",201294,0.700658
"YMR146C",201295,1.004674
"YNL215W",201296,0.994124
"YDR339C",201297,0.990875
"YPR074C",201298,0.910882
"YLR445W",201299,1.031463
"YPR026W",201300,1.003156
"YDR178W",201301,1.03105
"YLR290C",201302,1.020319
"YMR147W",201303,1.015903
"YLR418C",201304,1.010954
"YDR253C",201305,0.979449
"YDR172W",201306,0.916239
"YLR456W",201307,0.997831
"YIL075C",201308,0.95089
"YDR071C",201309,0.98139
"YPR103W",201310,1.028266
"YMR149W",201311,0.994683
"YDR460W",201312,1.006455
"YDR328C",201313,1.049237
"YIL089W",201314,1.024443
"YML022W",201315,1.023808
"YOR335C",201316,0.875857
"YDR121W",201317,1.053247
"YOR386W",201318,1.016234
"YMR152W",201319,0.995708
"YOR184W",201320,1.056434
"YDR231C",201321,0.954249
"YIL105C",201322,0.359113
"YML036W",201323,1.052699
"YHR120W",201324,0.781142
"YDR084C",201325,0.981347
"YNL194C",201326,1.003802
"YNL093W",201327,0.960365
"YDL007W",201328,0.880489
"YDR298C",201329,0.979341
"YJR110W",201330,0.99218
"YML030W",201331,1.020626
"YDR097C",201332,0.907761
"YDR177W",201333,0.964321
"YOR101W",201334,0.977046
"YNL222W",201335,0.983008
"YER016W",201336,0.340468
"YDR236C",201337,0.990875
"YGR143W",201338,1.055936
"YML077W",201339,0.88779
"YML109W",201350,0.708693
"YNL061W",201351,0.988834
"YGR009C",201352,0.9488
"YNL184C",201353,1.007234
"YER093C-A",201354,0.919368
"YDR233C",201355,0.994758
"YPR162C",201356,1.036293
"YMR257C",201357,0.928493
"YFR038W",201358,1.020747
"YNL049C",201359,0.918764
"YNL205C",201361,1.014574
"YFR042W",201362,1.018227
"YGL096W",201363,0.926722
"YMR261C",201365,0.985502
"YNL065W",201367,0.979558
"YNL203C",201369,0.991496
"YFR042W",201370,1.026087
"YDR489W",201371,0.983508
"YGL103W",201372,1.017047
"YNL107W",201373,1.022799
"YBL101C",201374,0.956032
"YDL090C",201375,1.018314
